Price,Make,Model,Year,Color,Kilometer,Transmission,New,Engine_Size,Horsepower,Fuel_Type
72100.0,Kia,K5,2024,Boz,0,Avtomat,Bəli,2.5,194,Benzin
41000.0,Kia,K5,2020,Qırmızı,154000,Avtomat,Xeyr,1.6,180,Benzin
24500.0,Kia,Forte,2019,Göy,126330,Variator,Xeyr,2.0,147,Benzin
321100.0,Mercedes,G 63 AMG,2019,Qara,48000,Avtomat,Xeyr,4.0,585,Benzin
79900.0,BMW,530e,2022,Qara,25000,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
41310.0,Hyundai,Sonata,2020,Yaş Asfalt,58000,Avtomat,Xeyr,1.6,188,Benzin
38250.0,Kia,K5,2020,Yaş Asfalt,30500,Robot,Xeyr,1.6,180,Benzin
26800.0,Hyundai,Elantra,2019,Qara,66230,Avtomat,Xeyr,2.0,150,Benzin
26400.0,Hyundai,Elantra,2019,Tünd qırmızı,95115,Avtomat,Xeyr,2.0,150,Benzin
253300.0,BMW,X7,2023,Qara,0,Avtomat,Bəli,3.0,381,Benzin
127500.0,BMW,530e,2024,Göy,9700,Avtomat,Xeyr,2.0,292,Plug-in Hibrid
458830.0,Mercedes,G 63 AMG,2023,Qara,4000,Avtomat,Xeyr,4.0,585,Benzin
32300.0,Kia,K5,2020,Qara,73000,Avtomat,Xeyr,1.6,180,Benzin
58310.0,Kia,Sorento,2022,Ağ,30000,Avtomat,Xeyr,1.6,230,Hibrid
59900.0,Hyundai,Sonata,2024,Qara,0,Avtomat,Bəli,2.5,194,Benzin
44000.0,Kia,Sportage,2020,Ağ,90000,Avtomat,Xeyr,2.0,185,Dizel
43500.0,Hyundai,Sonata,2021,Göy,111000,Avtomat,Xeyr,2.0,165,Benzin
110120.9,BMW,X5,2021,Qara,70100,Avtomat,Xeyr,2.0,218,Dizel
222700.0,Mercedes,GLS 450 4MATIC,2022,Boz,0,Avtomat,Bəli,3.0,367,Benzin
28500.0,Hyundai,Accent,2021,Qara,65000,Avtomat,Xeyr,1.6,140,Benzin
328100.0,Mercedes,G 63 AMG,2019,Qara,24500,Avtomat,Xeyr,4.0,585,Benzin
52700.0,Hyundai,Tucson,2024,Boz,0,Avtomat,Bəli,2.0,154,Benzin
