Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
72 100 AZN,Kia,K5,2024,Boz,2.5 L / 194 a.g. / Benzin,0 km,Avtomat,Bəli
41 000 AZN,Kia,K5,2020,Qırmızı,1.6 L / 180 a.g. / Benzin,154 000 km,Avtomat,Xeyr
24 500 AZN,Kia,Forte,2019,Göy,2.0 L / 147 a.g. / Benzin,126 330 km,Variator,Xeyr
169 000 EUR,Mercedes,G 63 AMG,2019,Qara,4.0 L / 585 a.g. / Benzin,48 000 km,Avtomat,Xeyr
47 000 USD,BMW,530e,2022,Qara,2.0 L / 292 a.g. / Plug-in Hibrid,25 000 km,Avtomat,Xeyr
24 300 USD,Hyundai,Sonata,2020,Yaş Asfalt,1.6 L / 188 a.g. / Benzin,58 000 km,Avtomat,Xeyr
22 500 USD,Kia,K5,2020,Yaş Asfalt,1.6 L / 180 a.g. / Benzin,30 500 km,Robot,Xeyr
26 800 AZN,Hyundai,Elantra,2019,Qara,2.0 L / 150 a.g. / Benzin,66 230 km,Avtomat,Xeyr
26 400 AZN,Hyundai,Elantra,2019,Tünd qırmızı,2.0 L / 150 a.g. / Benzin,95 115 km,Avtomat,Xeyr
149 000 USD,BMW,X7,2023,Qara,3.0 L / 381 a.g. / Benzin,0 km,Avtomat,Bəli
75 000 USD,BMW,530e,2024,Göy,2.0 L / 292 a.g. / Plug-in Hibrid,9 700 km,Avtomat,Xeyr
269 900 USD,Mercedes,G 63 AMG,2023,Qara,4.0 L / 585 a.g. / Benzin,4 000 km,Avtomat,Xeyr
32 300 AZN,Kia,K5,2020,Qara,1.6 L / 180 a.g. / Benzin,73 000 km,Avtomat,Xeyr
34 300 USD,Kia,Sorento,2022,Ağ,1.6 L / 230 a.g. / Hibrid,30 000 km,Avtomat,Xeyr
59 900 AZN,Hyundai,Sonata,2024,Qara,2.5 L / 194 a.g. / Benzin,0 km,Avtomat,Bəli
44 000 AZN,Kia,Sportage,2020,Ağ,2.0 L / 185 a.g. / Dizel,90 000 km,Avtomat,Xeyr
43 500 AZN,Hyundai,Sonata,2021,Göy,2.0 L / 165 a.g. / Benzin,111 000 km,Avtomat,Xeyr
64 777 USD,BMW,X5,2021,Qara,2.0 L / 218 a.g. / Dizel,70 100 km,Avtomat,Xeyr
131 000 USD,Mercedes,GLS 450 4MATIC,2022,Boz,3.0 L / 367 a.g. / Benzin,0 km,Avtomat,Bəli
28 500 AZN,Hyundai,Accent,2021,Qara,1.6 L / 140 a.g. / Benzin,65 000 km,Avtomat,Xeyr
193 000 USD,Mercedes,G 63 AMG,2019,Qara,4.0 L / 585 a.g. / Benzin,24 500 km,Avtomat,Xeyr
52 700 AZN,Hyundai,Tucson,2024,Boz,2.0 L / 154 a.g. / Benzin,0 km,Avtomat,Bəli
53 800 USD,BMW,530e,2023,Ağ,2.0 L / 292 a.g. / Plug-in Hibrid,35 000 km,Avtomat,Xeyr
51 900 USD,Mercedes,E 300 e,2022,Yaş Asfalt,2.0 L / 320 a.g. / Plug-in Hibrid,14 000 km,Avtomat,Xeyr
39 800 AZN,Hyundai,Sonata,2020,Ağ,2.0 L / 197 a.g. / Hibrid,55 000 km,Avtomat,Xeyr
42 900 AZN,Hyundai,Santa Fe,2019,Ağ,2.0 L / 184 a.g. / Dizel,176 000 km,Avtomat,Xeyr
30 700 USD,Hyundai,Sonata,2022,Yaş Asfalt,2.0 L / 165 a.g. / Benzin,27 000 km,Avtomat,Xeyr
41 500 USD,Hyundai,Grandeur,2023,Qara,1.6 L / 180 a.g. / Hibrid,22 600 km,Avtomat,Xeyr
22 300 USD,Hyundai,Elantra,2024,Qara,1.6 L / 127 a.g. / Benzin,0 km,Avtomat,Bəli
95 000 USD,BMW,X7,2021,Qara,3.0 L / 390 a.g. / Benzin,49 421 km,Avtomat,Xeyr
34 300 USD,BMW,530,2019,Yaş Asfalt,2.0 L / 245 a.g. / Benzin,92 280 km,Avtomat,Xeyr
