Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
77 000 USD,BMW,X5,2023,Qara,2.0 L / 238 a.g. / Dizel,19 500 km,Avtomat,Xeyr
79 500 USD,BMW,X5,2023,Qara,3.0 L / 381 a.g. / Benzin,47 000 km,Avtomat,Xeyr
103 000 USD,BMW,X5,2023,Qara,3.0 L / 381 a.g. / Benzin,19 000 km,Avtomat,Xeyr
60 000 EUR,BMW,i5,2024,Göy,601 a.g. / Elektro,7 500 km,Reduktor,Xeyr
54 000 USD,BMW,iX,2021,Ağ,330 a.g. / Elektro,50 000 km,Reduktor,Xeyr
85 000 USD,BMW,X5,2022,Qara,3.0 L / 306 a.g. / Benzin,55 500 km,Avtomat,Xeyr
59 000 USD,BMW,X5,2019,Qara,3.0 L / 340 a.g. / Benzin,68 000 km,Avtomat,Xeyr
49 500 USD,BMW,530e,2021,Yaş Asfalt,2.0 L / 292 a.g. / Plug-in Hibrid,67 000 km,Avtomat,Xeyr
34 000 USD,BMW,530,2019,Qara,2.0 L / 258 a.g. / Benzin,96 000 km,Avtomat,Xeyr
69 500 USD,BMW,730,2019,Qara,3.0 L / 249 a.g. / Dizel,81 000 km,Avtomat,Xeyr
45 000 USD,BMW,330,2022,Göy,2.0 L / 258 a.g. / Benzin,18 000 km,Avtomat,Xeyr
49 000 USD,BMW,X5,2019,Ağ,3.0 L / 340 a.g. / Benzin,65 000 km,Avtomat,Xeyr
85 000 USD,BMW,X5,2022,Qara,3.0 L / 306 a.g. / Benzin,55 500 km,Avtomat,Xeyr
47 000 USD,BMW,530e,2022,Qara,2.0 L / 292 a.g. / Plug-in Hibrid,25 000 km,Avtomat,Xeyr
80 000 USD,BMW,X7,2019,Qara,3.0 L / 340 a.g. / Benzin,50 000 km,Avtomat,Xeyr
38 500 USD,BMW,530,2020,Gümüşü,2.0 L / 260 a.g. / Benzin,71 600 km,Avtomat,Xeyr
132 900 USD,BMW,X7,2023,Qara,3.0 L / 380 a.g. / Benzin,0 km,Avtomat,Bəli
