Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
37 900 AZN,Hyundai,Elantra,2024,Yaş Asfalt,1.6 L / 127 a.g. / Benzin,0 km,Avtomat,Bəli
84 900 AZN,Hyundai,Grandeur,2024,Ağ,1.6 L / 230 a.g. / Hibrid,0 km,Avtomat,Bəli
59 900 AZN,Hyundai,Sonata,2024,Qara,2.5 L / 194 a.g. / Benzin,0 km,Avtomat,Bəli
79 900 AZN,Hyundai,Santa Fe,2024,Yaş Asfalt,1.6 L / 230 a.g. / Hibrid,0 km,Avtomat,Bəli
25 200 AZN,Hyundai,Accent,2021,Ağ,1.6 L / 140 a.g. / Benzin,72 996 km,Avtomat,Xeyr
24 300 USD,Hyundai,Sonata,2020,Yaş Asfalt,1.6 L / 188 a.g. / Benzin,58 000 km,Avtomat,Xeyr
43 800 USD,Hyundai,Grandeur,2023,Qara,1.6 L / 230 a.g. / Plug-in Hibrid,13 500 km,Avtomat,Xeyr
36 800 AZN,Hyundai,Elantra,2021,Boz,1.6 L / 139 a.g. / Hibrid,57 000 km,Avtomat,Xeyr
40 500 AZN,Hyundai,Elantra,2022,Boz,1.6 L / 132 a.g. / Benzin,66 700 km,Avtomat,Xeyr
48 000 AZN,Hyundai,Tucson,2023,Qara,1.6 L / 250 a.g. / Hibrid,4 600 km,Avtomat,Xeyr
36 900 AZN,Hyundai,Sonata,2020,Yaş Asfalt,1.6 L / 183 a.g. / Benzin,98 000 km,Avtomat,Xeyr
42 900 AZN,Hyundai,Santa Fe,2019,Ağ,2.0 L / 184 a.g. / Dizel,176 000 km,Avtomat,Xeyr
28 500 AZN,Hyundai,Elantra,2019,Göy,2.0 L / 150 a.g. / Benzin,37 000 km,Avtomat,Xeyr
33 000 AZN,Hyundai,Elantra,2024,Ağ,1.5 L / 115 a.g. / Benzin,0 km,Variator,Bəli
25 900 AZN,Hyundai,Venue,2020,Qara,1.6 L / 123 a.g. / Benzin,61 672 km,Avtomat,Xeyr
32 400 AZN,Hyundai,Elantra,2024,Ağ,1.5 L / 115 a.g. / Benzin,0 km,Variator,Bəli
42 500 AZN,Hyundai,Grandeur,2019,Ağ,2.4 L / 201 a.g. / Benzin,158 000 km,Avtomat,Xeyr
31 500 USD,Hyundai,Grandeur,2021,Boz,2.5 L / 201 a.g. / Benzin,58 450 km,Avtomat,Xeyr
25 900 AZN,Hyundai,Elantra,2019,Qara,2.0 L / 150 a.g. / Benzin,64 989 km,Avtomat,Xeyr
41 500 AZN,Hyundai,Santa Fe,2019,Qara,2.4 L / 188 a.g. / Benzin,135 185 km,Avtomat,Xeyr
24 300 USD,Hyundai,Sonata,2020,Yaş Asfalt,1.6 L / 188 a.g. / Benzin,58 000 km,Avtomat,Xeyr
31 000 AZN,Hyundai,Elantra,2021,Boz,1.6 L / 175 a.g. / Hibrid,110 000 km,Avtomat,Xeyr
24 900 AZN,Hyundai,Elantra,2019,Qara,2.0 L / 150 a.g. / Benzin,104 672 km,Avtomat,Xeyr
43 800 USD,Hyundai,Grandeur,2023,Qara,1.6 L / 230 a.g. / Plug-in Hibrid,13 500 km,Avtomat,Xeyr
49 500 USD,Hyundai,Palisade,2020,Ağ,2.2 L / 200 a.g. / Dizel,60 500 km,Avtomat,Xeyr
32 900 AZN,Hyundai,Sonata,2019,Boz,2.4 L / 188 a.g. / Benzin,71 616 km,Avtomat,Xeyr
23 000 AZN,Hyundai,Accent,2019,Göy,1.6 L / 140 a.g. / Benzin,114 268 km,Avtomat,Xeyr
40 200 AZN,Hyundai,Sonata,2021,Gümüşü,2.0 L / 192 a.g. / Hibrid,150 000 km,Avtomat,Xeyr
26 000 AZN,Hyundai,Elantra,2019,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,135 185 km,Avtomat,Xeyr
39 800 AZN,Hyundai,Sonata,2020,Boz,2.0 L / 192 a.g. / Hibrid,47 000 km,Avtomat,Xeyr
42 000 AZN,Hyundai,Sonata,2020,Ağ,1.6 L / 183 a.g. / Benzin,235 688 km,Avtomat,Xeyr
33 200 AZN,Hyundai,Elantra,2022,Boz,1.6 L / 128 a.g. / Benzin,14 000 km,Avtomat,Xeyr
30 000 USD,Hyundai,Santa Fe,2023,Yaş Asfalt,1.6 L / 230 a.g. / Hibrid,7 000 km,Avtomat,Xeyr
28 000 USD,Hyundai,Sonata,2022,Qara,2.0 L / 165 a.g. / Benzin,49 500 km,Avtomat,Xeyr
36 000 AZN,Hyundai,Santa Fe,2019,Qızılı,2.0 L / 265 a.g. / Benzin,107 000 km,Avtomat,Xeyr
28 700 AZN,Hyundai,Elantra,2019,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,139 852 km,Avtomat,Xeyr
17 780 USD,Hyundai,Elantra,2024,Ağ,1.5 L / 115 a.g. / Benzin,0 km,Variator,Bəli
99 800 AZN,Hyundai,Palisade,2023,Qara,2.2 L / 200 a.g. / Dizel,0 km,Avtomat,Bəli
73 500 AZN,Hyundai,Staria,2024,Qara,2.2 L / 177 a.g. / Dizel,0 km,Avtomat,Bəli
63 900 AZN,Hyundai,Sonata,2024,Qara,2.0 L / 193 a.g. / Hibrid,0 km,Avtomat,Bəli
29 500 AZN,Hyundai,IONIQ,2020,Ağ,1.6 L / 141 a.g. / Plug-in Hibrid,38 000 km,Robot,Xeyr
25 900 AZN,Hyundai,Elantra,2019,Qara,2.0 L / 150 a.g. / Benzin,128 748 km,Avtomat,Xeyr
42 900 AZN,Hyundai,Santa Fe,2019,Ağ,2.0 L / 184 a.g. / Dizel,176 000 km,Avtomat,Xeyr
21 900 AZN,Hyundai,Accent,2021,Gümüşü,1.6 L / 140 a.g. / Benzin,110 000 km,Avtomat,Xeyr
