Price,Make,Model,Year,Color,Engine,Kilometer,Transmission,New
58 500 AZN,Kia,Sportage,2023,Boz,1.6 L / 141 a.g. / Dizel,0 km,Avtomat,Bəli
46 800 AZN,Kia,Seltos,2024,Ağ,1.5 L / 177 a.g. / Benzin,0 km,Avtomat,Bəli
40 200 AZN,Kia,Cerato,2023,Mavi,1.6 L / 130 a.g. / Benzin,0 km,Avtomat,Bəli
42 000 USD,Kia,Sorento,2023,Yaş Asfalt,2.2 L / 200 a.g. / Dizel,12 000 km,Avtomat,Xeyr
40 300 AZN,Kia,Seltos,2021,Qara,2.0 L / 149 a.g. / Benzin,29 500 km,Variator,Xeyr
68 000 AZN,Kia,Sorento,2022,Ağ,1.6 L / 230 a.g. / Hibrid,64 000 km,Avtomat,Xeyr
45 900 AZN,Kia,K5,2021,Ağ,2.0 L / 155 a.g. / Benzin,71 400 km,Avtomat,Xeyr
44 000 AZN,Kia,Sportage,2020,Ağ,2.0 L / 185 a.g. / Dizel,90 000 km,Avtomat,Xeyr
38 500 AZN,Kia,Sportage,2020,Ağ,2.0 L / 184 a.g. / Dizel,140 700 km,Avtomat,Xeyr
34 300 USD,Kia,Sorento,2022,Ağ,1.6 L / 230 a.g. / Hibrid,30 000 km,Avtomat,Xeyr
29 500 USD,Kia,EV5,2024,Gümüşü,218 a.g. / Elektro,0 km,Reduktor,Bəli
43 000 AZN,Kia,K5,2020,Yaş Asfalt,2.0 L / 168 a.g. / Benzin,21 500 km,Avtomat,Xeyr
49 500 AZN,Kia,Sorento,2020,Boz,2.0 L / 184 a.g. / Dizel,176 000 km,Avtomat,Xeyr
44 000 AZN,Kia,Sportage,2020,Ağ,2.0 L / 185 a.g. / Dizel,90 000 km,Avtomat,Xeyr
42 200 AZN,Kia,Sportage,2019,Ağ,2.0 L / 184 a.g. / Dizel,77 000 km,Avtomat,Xeyr
26 400 AZN,Kia,Forte,2019,Qara,2.0 L / 147 a.g. / Benzin,80 467 km,Variator,Xeyr
28 500 AZN,Kia,Forte,2021,Ağ,2.0 L / 147 a.g. / Benzin,60 181 km,Variator,Xeyr
37 500 AZN,Kia,ProCeed,2021,Ağ,1.6 L / 246 a.g. / Benzin,41 200 km,Avtomat,Xeyr
43 000 AZN,Kia,K5,2022,Boz,1.6 L / 180 a.g. / Benzin,79 500 km,Avtomat,Xeyr
37 000 AZN,Kia,ProCeed,2019,Ağ,1.4 L / 140 a.g. / Benzin,72 000 km,Avtomat,Xeyr
50 500 AZN,Kia,K5,2023,Ağ,2.0 L / 150 a.g. / Benzin,38 400 km,Avtomat,Xeyr
43 000 AZN,Kia,K5,2020,Yaş Asfalt,2.0 L / 168 a.g. / Benzin,21 500 km,Avtomat,Xeyr
45 500 AZN,Kia,Niro,2023,Açıq yaşıl,1.6 L / 140 a.g. / Hibrid,10 140 km,Avtomat,Xeyr
41 000 AZN,Kia,K5,2021,Qara,2.0 L / 150 a.g. / Benzin,52 000 km,Avtomat,Xeyr
42 000 USD,Kia,Sorento,2023,Yaş Asfalt,2.2 L / 200 a.g. / Dizel,12 000 km,Avtomat,Xeyr
39 900 AZN,Kia,Sorento,2019,Qara,2.4 L / 188 a.g. / Benzin,69 202 km,Avtomat,Xeyr
46 500 AZN,Kia,K7,2019,Yaş Asfalt,2.4 L / 205 a.g. / Hibrid,122 000 km,Avtomat,Xeyr
38 000 AZN,Kia,K5,2021,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,110 000 km,Avtomat,Xeyr
34 300 USD,Kia,Sorento,2022,Ağ,1.6 L / 230 a.g. / Hibrid,30 000 km,Avtomat,Xeyr
31 000 AZN,Kia,Optima,2019,Qara,1.6 L / 178 a.g. / Benzin,111 045 km,Avtomat,Xeyr
40 900 AZN,Kia,Carnival,2019,Ağ,2.2 L / 202 a.g. / Dizel,180 000 km,Avtomat,Xeyr
24 900 USD,Kia,Stinger,2019,Göy,2.0 L / 247 a.g. / Benzin,88 000 km,Avtomat,Xeyr
26 000 AZN,Kia,Forte,2020,Tünd qırmızı,2.0 L / 147 a.g. / Benzin,29 000 km,Variator,Xeyr
29 900 AZN,Kia,Cerato,2021,Ağ,2.0 L / 150 a.g. / Benzin,140 000 km,Avtomat,Xeyr
41 000 USD,Kia,Carnival,2023,Qara,2.2 L / 202 a.g. / Dizel,70 000 km,Avtomat,Xeyr
44 400 AZN,Kia,Sorento,2019,Yaş Asfalt,2.0 L / 184 a.g. / Dizel,105 100 km,Avtomat,Xeyr
45 900 AZN,Kia,Sorento,2019,Ağ,2.0 L / 184 a.g. / Dizel,114 000 km,Avtomat,Xeyr
34 900 USD,Kia,Carnival,2020,Qara,2.2 L / 202 a.g. / Dizel,112 400 km,Avtomat,Xeyr
25 500 AZN,Kia,Forte,2019,Qara,2.0 L / 147 a.g. / Benzin,128 942 km,Variator,Xeyr
41 000 AZN,Kia,K5,2020,Qırmızı,1.6 L / 180 a.g. / Benzin,154 000 km,Avtomat,Xeyr
44 800 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,99 000 km,Avtomat,Xeyr
49 500 AZN,Kia,Sorento,2021,Ağ,2.2 L / 200 a.g. / Dizel,115 000 km,Avtomat,Xeyr
41 500 AZN,Kia,Cerato,2023,Yaş Asfalt,1.6 L / 128 a.g. / Benzin,21 900 km,Avtomat,Xeyr
40 900 AZN,Kia,K5,2021,Boz,1.6 L / 183 a.g. / Benzin,87 000 km,Avtomat,Xeyr
38 700 AZN,Kia,K5,2020,Boz,1.6 L / 180 a.g. / Benzin,123 000 km,Robot,Xeyr
47 900 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,145 000 km,Avtomat,Xeyr
32 300 AZN,Kia,K5,2020,Qara,1.6 L / 180 a.g. / Benzin,73 000 km,Avtomat,Xeyr
27 500 AZN,Kia,Cerato,2021,Ağ,2.0 L / 150 a.g. / Benzin,76 650 km,Avtomat,Xeyr
23 490 USD,Kia,EV5,2024,Mavi,218 a.g. / Elektro,0 km,Reduktor,Bəli
38 500 AZN,Kia,Sportage,2020,Ağ,2.0 L / 184 a.g. / Dizel,140 700 km,Avtomat,Xeyr
29 800 AZN,Kia,Rio,2021,Ağ,1.6 L / 123 a.g. / Benzin,26 000 km,Avtomat,Xeyr
32 750 USD,Kia,Sorento,2023,Ağ,1.6 L / 230 a.g. / Hibrid,14 200 km,Avtomat,Xeyr
27 500 AZN,Kia,Soul,2021,Ağ,2.0 L / 150 a.g. / Benzin,130 525 km,Avtomat,Xeyr
30 900 AZN,Kia,Rio X-Line,2020,Qəhvəyi,1.6 L / 123 a.g. / Benzin,6 500 km,Avtomat,Xeyr
40 000 AZN,Kia,K5,2022,Qara,1.6 L / 180 a.g. / Benzin,30 000 km,Avtomat,Xeyr
47 900 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,143 000 km,Avtomat,Xeyr
34 600 AZN,Kia,Sportage,2019,Ağ,2.0 L / 185 a.g. / Dizel,139 000 km,Avtomat,Xeyr
58 500 AZN,Kia,Sportage,2023,Boz,1.6 L / 141 a.g. / Dizel,0 km,Avtomat,Bəli
44 800 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,99 000 km,Avtomat,Xeyr
25 300 AZN,Kia,Forte,2019,Qırmızı,2.0 L / 147 a.g. / Benzin,52 286 km,Variator,Xeyr
45 900 AZN,Kia,K5,2021,Ağ,2.0 L / 155 a.g. / Benzin,71 400 km,Avtomat,Xeyr
55 900 AZN,Kia,Sorento,2020,Qara,2.2 L / 200 a.g. / Dizel,100 100 km,Avtomat,Xeyr
40 900 AZN,Kia,K5,2021,Boz,1.6 L / 183 a.g. / Benzin,87 000 km,Avtomat,Xeyr
42 900 AZN,Kia,Sorento,2019,Yaş Asfalt,2.0 L / 184 a.g. / Dizel,155 000 km,Avtomat,Xeyr
49 000 AZN,Kia,Sorento,2019,Ağ,2.0 L / 184 a.g. / Dizel,131 000 km,Avtomat,Xeyr
45 500 AZN,Kia,Sorento,2019,Qara,2.4 L / 188 a.g. / Benzin,149 000 km,Avtomat,Xeyr
47 900 AZN,Kia,Sorento,2019,Qara,2.0 L / 184 a.g. / Dizel,145 000 km,Avtomat,Xeyr
36 900 AZN,Kia,K5,2020,Qara,2.0 L / 168 a.g. / Benzin,83 000 km,Avtomat,Xeyr
38 500 AZN,Kia,K5,2020,Tünd qırmızı,1.6 L / 180 a.g. / Benzin,33 400 km,Avtomat,Xeyr
32 300 AZN,Kia,K5,2020,Qara,1.6 L / 180 a.g. / Benzin,73 000 km,Avtomat,Xeyr
25 500 AZN,Kia,Forte,2020,Qara,2.0 L / 147 a.g. / Benzin,86 300 km,Variator,Xeyr
37 500 USD,Kia,Carnival,2021,Qara,2.2 L / 202 a.g. / Dizel,48 750 km,Avtomat,Xeyr
25 500 AZN,Kia,Forte,2019,Qara,2.0 L / 147 a.g. / Benzin,128 942 km,Variator,Xeyr
